company,date,open,high,low,close
AXISBANK,1/6/2011,256.450012,258.350006,253.039993,255.649994
AXISBANK,2/6/2011,251.020004,257,251.020004,254.75
AXISBANK,3/6/2011,254.399994,257.600006,244.800003,248.550003
AXISBANK,6/6/2011,248.399994,248.399994,241.630005,247.089996
AXISBANK,7/6/2011,245.399994,250.580002,244.949997,248.929993
AXISBANK,8/6/2011,246.179993,247.199997,243.429993,245.75
AXISBANK,9/6/2011,245.979996,250.429993,245.800003,249.279999
AXISBANK,10/6/2011,248.399994,249.199997,245,247.029999
AXISBANK,13-06-2011,246.039993,247.600006,243.399994,246.660004
AXISBANK,14-06-2011,247,252.839996,247,252.009995
AXISBANK,15-06-2011,251.940002,252,244.199997,244.880005
AXISBANK,16-06-2011,243.990005,246,241.059998,243.570007
AXISBANK,17-06-2011,248.940002,248.940002,242.699997,244.509995
AXISBANK,20-06-2011,245,247.5,240.199997,245.279999
AXISBANK,21-06-2011,246.199997,252,245.279999,248.369995
AXISBANK,22-06-2011,250.600006,253.520004,249,250.929993
AXISBANK,23-06-2011,249.470001,250.399994,246.570007,248.869995
AXISBANK,24-06-2011,250.199997,255.600006,249.990005,254.449997
AXISBANK,27-06-2011,253.399994,262.480011,250,261.279999
AXISBANK,28-06-2011,262.209991,262.420013,258.049988,260.579987
AXISBANK,29-06-2011,262.399994,263.200012,257.320007,258.709991
AXISBANK,30-06-2011,259.140015,261.200012,256.220001,257.910004
AXISBANK,1/7/2011,262.799988,263,258.600006,261.829987
AXISBANK,4/7/2011,264.779999,267.540009,262.51001,266.839996
AXISBANK,5/7/2011,267.899994,267.899994,264.01001,265.589996
AXISBANK,6/7/2011,265.25,266.119995,261.200012,262.029999
AXISBANK,7/7/2011,262.589996,267,261.920013,266.339996
AXISBANK,8/7/2011,266.820007,267.579987,260.559998,261.190002
AXISBANK,11/7/2011,261.200012,261.200012,252.009995,252.789993
AXISBANK,12/7/2011,250.880005,254.449997,249.039993,253.279999
AXISBANK,13-07-2011,253.800003,256.779999,252.539993,254.360001
AXISBANK,14-07-2011,253.320007,258.839996,253,255.850006
AXISBANK,15-07-2011,256.200012,257.369995,252.509995,253.580002
AXISBANK,18-07-2011,253.050003,253.899994,250.419998,252.5
AXISBANK,19-07-2011,253.539993,255.600006,252.600006,254.610001
AXISBANK,20-07-2011,255.839996,256.309998,252,252.529999
AXISBANK,21-07-2011,251.860001,252.380005,246.399994,247.919998
AXISBANK,22-07-2011,249.449997,262.399994,248.199997,259.380005
AXISBANK,25-07-2011,258.940002,268,258.670013,267.450012
AXISBANK,26-07-2011,267,268,261.119995,263.910004
AXISBANK,27-07-2011,264.399994,264.970001,258.75,260.100006
AXISBANK,28-07-2011,257,261.589996,257,260.299988
AXISBANK,29-07-2011,260,268.399994,258.480011,267.5
AXISBANK,1/8/2011,269.799988,273.51001,269.299988,270.600006
AXISBANK,2/8/2011,269,269.589996,265.220001,268.559998
AXISBANK,3/8/2011,266.140015,266.140015,258.549988,260.230011
AXISBANK,4/8/2011,260.720001,262.559998,256.200012,257.190002
AXISBANK,5/8/2011,249,250.5,240,248.410004
AXISBANK,8/8/2011,241.039993,253.160004,240.110001,247.089996
AXISBANK,9/8/2011,238.100006,247.660004,236.179993,241.039993
AXISBANK,10/8/2011,248.399994,250.740005,245.059998,250.020004
AXISBANK,11/8/2011,247.399994,250.5,241.240005,242.169998
AXISBANK,12/8/2011,245.899994,246.149994,238.639999,241.850006
AXISBANK,16-08-2011,245.389999,246.149994,241.330002,242.490005
AXISBANK,17-08-2011,241.449997,245.330002,233.429993,233.960007
AXISBANK,18-08-2011,234.539993,235,220.199997,221.660004
AXISBANK,19-08-2011,219.630005,220,208.199997,213.919998
AXISBANK,22-08-2011,215.029999,215.600006,205.240005,210.220001
AXISBANK,23-08-2011,211.600006,220.580002,210.199997,216.710007
AXISBANK,24-08-2011,215.710007,222.880005,207.199997,209.940002
AXISBANK,25-08-2011,211,212.740005,201.039993,203.850006
AXISBANK,26-08-2011,205.190002,206.369995,198.360001,200.059998
AXISBANK,29-08-2011,203.800003,210.389999,203.100006,207.889999
AXISBANK,30-08-2011,212,216,210.990005,214.550003
AXISBANK,2/9/2011,220.800003,221.940002,209.619995,216.080002
AXISBANK,5/9/2011,214.720001,224.949997,211.600006,222.889999
AXISBANK,6/9/2011,221.800003,229.800003,217.020004,228.089996
AXISBANK,7/9/2011,228.300003,231.800003,227.789993,228.690002
AXISBANK,8/9/2011,228.309998,232.169998,225.279999,230.110001
AXISBANK,9/9/2011,229.440002,230.779999,219.259995,220.660004
AXISBANK,12/9/2011,218,218.399994,208.5,210.309998
AXISBANK,13-09-2011,211.059998,215.710007,207.800003,209.970001
AXISBANK,14-09-2011,211,218.919998,208.649994,217.740005
AXISBANK,15-09-2011,219.339996,224.600006,213.330002,223.139999
AXISBANK,16-09-2011,226.199997,228.190002,221.139999,226.669998
AXISBANK,19-09-2011,224.960007,224.960007,219.800003,220.929993
AXISBANK,20-09-2011,220.259995,229.979996,219.800003,228.779999
AXISBANK,21-09-2011,228.619995,232.199997,226.050003,231.320007
AXISBANK,22-09-2011,226.199997,227.179993,221.399994,222.479996
AXISBANK,23-09-2011,220.020004,223.190002,213.080002,217.369995
AXISBANK,26-09-2011,216.679993,216.880005,207.660004,211.199997
AXISBANK,27-09-2011,214.800003,219,213,217.600006
AXISBANK,28-09-2011,218.199997,219.199997,213.089996,214.539993
AXISBANK,29-09-2011,212.800003,216.100006,211.020004,213.949997
AXISBANK,30-09-2011,212.440002,212.600006,202.119995,203.779999
AXISBANK,3/10/2011,200.600006,201,196,197.699997
AXISBANK,4/10/2011,196.880005,199.279999,190.199997,191.949997
AXISBANK,5/10/2011,194.399994,195,189.039993,190.399994
AXISBANK,7/10/2011,195.429993,207.699997,195.429993,206.059998
AXISBANK,10/10/2011,206,211,203.369995,209.770004
AXISBANK,11/10/2011,212.050003,216.169998,209,210.550003
AXISBANK,12/10/2011,211.199997,219.979996,207.639999,218.669998
AXISBANK,13-10-2011,220,221.600006,216,217.309998
AXISBANK,14-10-2011,215.110001,222,215.110001,220.669998
AXISBANK,17-10-2011,222.380005,226.559998,221.649994,224.369995
AXISBANK,18-10-2011,220,221.009995,215.449997,219.509995
AXISBANK,19-10-2011,221,227,220.940002,226.550003
AXISBANK,20-10-2011,223.199997,227.199997,220.020004,226.119995
AXISBANK,21-10-2011,227.360001,227.979996,224.460007,225.539993
AXISBANK,24-10-2011,231.619995,237.820007,230.619995,233.710007
AXISBANK,25-10-2011,234.449997,238.800003,222,223.550003
AXISBANK,28-10-2011,232.199997,236.559998,229.110001,230.100006
AXISBANK,31-10-2011,230,232.809998,228.300003,231.869995
AXISBANK,1/11/2011,230,231.259995,226.020004,227.190002
AXISBANK,2/11/2011,224.800003,227.970001,223.440002,225.190002
AXISBANK,3/11/2011,223.979996,226,220.460007,223.169998
AXISBANK,4/11/2011,227.160004,229,224.729996,225.699997
AXISBANK,8/11/2011,227.800003,230.779999,225.860001,228.070007
AXISBANK,9/11/2011,229.800003,230.020004,220.699997,222.460007
AXISBANK,11/11/2011,220.600006,222.529999,210.399994,211.399994
AXISBANK,14-11-2011,214.600006,216.199997,209.259995,209.899994
AXISBANK,15-11-2011,208.800003,210.199997,199.639999,201.679993
AXISBANK,16-11-2011,201.699997,204.220001,195.580002,201.229996
AXISBANK,17-11-2011,200.800003,201.899994,196.210007,197.110001
AXISBANK,18-11-2011,195.619995,196.160004,188,192.839996
AXISBANK,21-11-2011,192,194.240005,188.630005,189.399994
AXISBANK,22-11-2011,190.300003,191.779999,186.059998,189.399994
AXISBANK,23-11-2011,187.399994,188.559998,184.220001,187.419998
AXISBANK,24-11-2011,188,192.940002,187.130005,191.449997
AXISBANK,25-11-2011,190.990005,195.570007,189.089996,193.449997
AXISBANK,28-11-2011,196.240005,199.399994,194.919998,198.279999
AXISBANK,29-11-2011,198.600006,200.339996,193.050003,195.160004
AXISBANK,30-11-2011,192.199997,194.960007,187.199997,189.529999
AXISBANK,1/12/2011,197.020004,199.740005,192.619995,194.520004
AXISBANK,2/12/2011,195.729996,202.399994,193.110001,201.190002
AXISBANK,5/12/2011,201,207.210007,198.520004,206.429993
AXISBANK,7/12/2011,206.600006,210.490005,205.889999,207.910004
AXISBANK,8/12/2011,207,208.389999,199,200.679993
AXISBANK,9/12/2011,196.270004,202.580002,195.639999,198.380005
AXISBANK,12/12/2011,201,201.600006,193.449997,194.080002
AXISBANK,13-12-2011,192.399994,194.800003,188.070007,191.979996
AXISBANK,14-12-2011,191.800003,196.199997,190.110001,191.830002
AXISBANK,15-12-2011,189.600006,190.429993,186.800003,189.820007
AXISBANK,16-12-2011,191,192.800003,179,180.809998
AXISBANK,19-12-2011,179.589996,179.589996,165.600006,169.809998
AXISBANK,20-12-2011,171.539993,171.539993,161.770004,164.059998
AXISBANK,21-12-2011,169.039993,171.800003,166.470001,170.860001
AXISBANK,22-12-2011,168.449997,175.660004,168.080002,174.729996
AXISBANK,23-12-2011,177,179.199997,173.130005,175.990005
AXISBANK,26-12-2011,176,178.199997,173.399994,174.399994
AXISBANK,27-12-2011,174.479996,174.559998,167.960007,169.050003
AXISBANK,28-12-2011,168.199997,168.199997,164.020004,166.520004
AXISBANK,29-12-2011,164.889999,167.580002,161.600006,163.110001
AXISBANK,30-12-2011,163.199997,165.490005,160.660004,161.619995
AXISBANK,2/1/2012,162,163,156.800003,158.960007
AXISBANK,3/1/2012,161.020004,168.380005,160.729996,167.509995
AXISBANK,4/1/2012,168.960007,171.199997,166.380005,169.630005
AXISBANK,5/1/2012,169.800003,175.759995,169.009995,174.130005
AXISBANK,6/1/2012,172.559998,173.199997,167.259995,170.699997
,,,,,
AXISBANK,9/1/2012,170.199997,172.679993,167.020004,171.639999
AXISBANK,10/1/2012,173.800003,179.399994,173.220001,178.949997
AXISBANK,11/1/2012,179.600006,189.490005,178.619995,186.729996
AXISBANK,12/1/2012,186.199997,193.690002,185.389999,188.100006
AXISBANK,13-01-2012,189.770004,191.190002,185.710007,187.940002
AXISBANK,16-01-2012,186.800003,187.800003,183.419998,187.050003
AXISBANK,17-01-2012,188.600006,195.979996,188.600006,192.449997
AXISBANK,18-01-2012,192.800003,193.789993,186.020004,186.649994
AXISBANK,19-01-2012,189,192.240005,188.649994,191.009995
AXISBANK,20-01-2012,192.419998,204,191.089996,201.809998
AXISBANK,23-01-2012,203.399994,207.559998,198.160004,199.389999
AXISBANK,24-01-2012,199.399994,209.199997,196.809998,206.520004
AXISBANK,25-01-2012,207.759995,215.179993,204.110001,212.729996
AXISBANK,27-01-2012,214.800003,215.880005,211.270004,214.610001
AXISBANK,30-01-2012,213.960007,213.960007,203.460007,204.690002
AXISBANK,31-01-2012,207,217.600006,206.190002,215.009995
AXISBANK,1/2/2012,214.899994,218.460007,210.660004,217.619995
AXISBANK,2/2/2012,218.800003,221.740005,212.710007,215.179993
AXISBANK,3/2/2012,215.339996,221.869995,212.240005,219.869995
AXISBANK,6/2/2012,222.800003,223.679993,219.589996,222.009995
AXISBANK,7/2/2012,224.979996,224.979996,219.800003,222.720001
AXISBANK,8/2/2012,223.600006,228.229996,220.529999,225.440002
AXISBANK,9/2/2012,222.940002,228.360001,221.25,226.899994
AXISBANK,10/2/2012,225.199997,228.779999,220.380005,223.610001
AXISBANK,13-02-2012,224,225.550003,221.699997,223.270004
AXISBANK,14-02-2012,223.600006,226.600006,222.25,225.929993
AXISBANK,15-02-2012,228.399994,246,228.020004,244.199997
AXISBANK,16-02-2012,241.029999,247,239,244.860001
AXISBANK,17-02-2012,249.600006,259,248,255.639999
AXISBANK,21-02-2012,253.800003,261.690002,253.630005,257.519989
AXISBANK,22-02-2012,257.26001,258.679993,240.800003,243.210007
AXISBANK,23-02-2012,242,249,239.199997,243.539993
AXISBANK,24-02-2012,243.559998,249.309998,235.229996,236.690002
AXISBANK,27-02-2012,237,237.570007,221,222.899994
AXISBANK,28-02-2012,225.899994,237.600006,224.029999,234.110001
AXISBANK,29-02-2012,238,241.910004,232.050003,235.550003
AXISBANK,1/3/2012,235,235,226.479996,230.580002
AXISBANK,2/3/2012,232.990005,241.779999,228.889999,233.330002
,,,,,
AXISBANK,5/3/2012,233,233.800003,228.550003,230
AXISBANK,6/3/2012,229.779999,240,221.149994,229.5
AXISBANK,7/3/2012,228,233.990005,226.149994,232.970001
AXISBANK,9/3/2012,237.800003,243.800003,237,242.679993
AXISBANK,12/3/2012,250,251.529999,242.630005,245
AXISBANK,13-03-2012,248,249.699997,247.270004,248.119995
AXISBANK,14-03-2012,253,256.73999,251.649994,254.809998
